date,I Feel You Linger in the Air,Only Friends,Laws of Attraction,Moonlight Chicken,My School President
2023-11-24 15:04:59,38,20,19,69,19
2023-11-24 15:09:59,39,20,19,72,19
2023-11-24 15:15:00,39,21,19,74,19
2023-11-24 15:19:59,42,22,19,76,20
2023-11-24 15:24:59,42,23,20,77,21
2023-11-24 15:30:00,42,23,20,78,21
2023-11-24 15:34:59,44,23,20,79,21
2023-11-24 15:39:59,44,24,20,79,22
2023-11-24 15:44:59,47,24,20,80,22
2023-11-24 15:50:00,47,24,20,81,23
2023-11-24 15:55:00,47,24,20,82,24
2023-11-24 16:00:00,48,24,20,83,26
2023-11-24 16:05:00,49,24,20,84,26
2023-11-24 16:10:00,49,27,21,89,26
2023-11-24 16:15:00,51,28,21,91,26
2023-11-24 16:20:00,51,29,21,92,26
2023-11-24 16:25:00,51,29,21,94,26
2023-11-24 16:30:00,51,29,21,95,26
2023-11-24 16:35:00,51,30,21,95,27
2023-11-24 16:40:00,52,31,21,95,27
2023-11-24 16:45:00,52,31,21,95,27
2023-11-24 16:50:00,53,31,21,95,27
2023-11-24 16:55:00,54,31,21,95,28
2023-11-24 17:00:00,54,31,21,95,29
2023-11-24 17:05:00,54,32,21,96,29
2023-11-24 17:10:00,54,33,21,97,29
2023-11-24 17:15:00,54,33,21,98,29
2023-11-24 17:20:00,54,33,21,100,29
2023-11-24 17:25:00,54,33,21,101,29
2023-11-24 17:30:00,54,33,22,102,29
2023-11-24 17:35:00,54,33,22,103,29
2023-11-24 17:40:00,54,33,22,106,29
2023-11-24 17:45:00,54,33,23,106,29
2023-11-24 17:50:01,54,33,23,107,29
2023-11-24 17:55:00,54,34,23,108,29
2023-11-24 18:00:00,54,34,23,109,30
2023-11-24 18:05:00,55,35,23,109,30
2023-11-24 18:10:00,55,36,23,109,31
2023-11-24 18:15:00,56,36,23,110,31
2023-11-24 18:20:00,57,36,23,111,31
2023-11-24 18:29:59,58,36,23,113,31
2023-11-24 18:34:59,58,38,23,114,31
2023-11-24 18:39:59,59,38,23,114,31
2023-11-24 18:44:59,59,38,23,115,33
2023-11-24 18:49:59,59,39,23,115,33
2023-11-24 18:54:59,59,39,23,116,35
2023-11-24 18:59:59,59,39,23,118,35
2023-11-24 19:04:59,59,39,23,119,35
2023-11-24 19:09:59,59,39,23,119,35
2023-11-24 19:14:59,59,40,23,120,35
2023-11-24 19:19:59,59,41,24,122,35
2023-11-24 19:24:59,60,41,24,122,36
2023-11-24 19:29:59,60,41,24,122,36
2023-11-24 19:34:59,60,41,24,122,36
2023-11-24 19:39:59,61,41,24,123,37
2023-11-24 19:44:59,61,41,24,126,37
2023-11-24 19:49:59,61,42,24,127,37
2023-11-24 19:54:59,61,42,24,127,37
2023-11-24 19:59:59,61,42,24,128,37
2023-11-24 20:04:59,61,42,24,128,37
2023-11-24 20:09:59,61,42,24,128,37
2023-11-24 20:14:59,61,44,24,129,38
2023-11-24 20:19:59,61,44,24,129,38
2023-11-24 20:24:59,61,44,24,129,39
2023-11-24 20:29:59,61,44,24,129,39
2023-11-24 20:34:59,61,44,24,130,39
2023-11-24 20:39:59,61,45,24,130,39
2023-11-24 20:44:59,61,46,24,130,39
2023-11-24 20:49:59,62,46,24,130,39
2023-11-24 20:54:59,64,46,24,130,39
2023-11-24 20:59:59,64,46,24,130,40
2023-11-24 21:04:59,64,46,24,130,40
2023-11-24 21:10:03,64,46,24,130,40
2023-11-24 21:14:59,64,47,24,131,40
2023-11-24 21:19:59,64,47,24,131,40
2023-11-24 21:24:59,64,47,24,131,40
2023-11-24 21:30:00,64,47,24,131,40
2023-11-24 21:35:00,64,49,25,131,40
2023-11-24 21:40:00,64,51,25,131,40
2023-11-24 21:45:00,64,51,25,131,40
2023-11-24 21:50:00,64,51,25,132,40
2023-11-24 21:55:00,64,51,25,132,40
2023-11-24 22:00:00,64,51,25,132,40
