date,Tao Sarocha,Khaotung Thanawat,Neo Trai,Jab Penpetch,Mark Pakin
2023-11-25 20:59:59,8,34,30,4,11
2023-11-25 21:29:59,8,42,34,4,15
2023-11-25 22:00:00,8,46,37,5,17
2023-11-25 22:29:59,10,49,39,5,19
2023-11-25 22:59:59,10,54,40,5,20
2023-11-25 23:29:59,11,56,40,5,20
2023-11-25 23:59:59,11,58,41,5,20
2023-11-26 00:30:00,11,61,42,5,20
2023-11-26 01:00:00,11,62,42,5,20
2023-11-26 01:30:00,12,64,44,5,21
2023-11-26 02:00:00,12,64,45,5,21
2023-11-26 02:30:00,12,66,46,5,21
2023-11-26 03:00:03,12,67,47,5,21
2023-11-26 03:30:00,12,70,49,5,21
2023-11-26 04:00:00,12,71,49,5,22
2023-11-26 04:30:00,12,72,49,5,22
2023-11-26 05:00:00,12,73,49,5,22
2023-11-26 05:30:00,13,75,53,5,26
2023-11-26 06:00:00,13,77,55,5,26
2023-11-26 06:30:00,13,79,58,5,28
2023-11-26 07:00:00,13,80,58,5,28
2023-11-26 07:30:00,15,80,61,5,28
2023-11-26 08:00:00,15,81,63,5,28
2023-11-26 08:30:00,16,82,63,5,28
2023-11-26 09:00:00,16,83,63,5,28
2023-11-26 09:30:00,17,86,63,5,29
2023-11-26 10:00:00,17,87,66,5,30
2023-11-26 10:30:00,17,87,66,5,30
2023-11-26 11:00:00,17,87,66,5,30
2023-11-26 11:30:00,17,87,67,5,30
2023-11-26 12:00:00,17,87,67,5,30
2023-11-26 12:30:00,17,87,68,5,31
2023-11-26 13:00:00,17,87,69,5,32
2023-11-26 13:30:00,17,87,69,5,32
2023-11-26 14:00:00,17,87,70,5,32
2023-11-26 14:30:00,17,87,70,5,33
2023-11-26 15:00:00,17,89,71,5,33
2023-11-26 15:30:00,17,92,71,5,33
2023-11-26 16:00:00,17,92,71,5,33
2023-11-26 16:30:00,17,94,73,5,33
2023-11-26 17:00:00,17,94,73,5,33
2023-11-26 17:30:01,17,94,73,5,33
2023-11-26 18:00:01,17,94,73,5,34
2023-11-26 18:30:01,19,95,76,5,36
2023-11-26 19:00:01,22,99,81,5,39
2023-11-26 19:30:01,22,104,91,5,42
2023-11-26 20:00:01,23,105,100,6,42
2023-11-26 20:30:01,23,106,108,6,42
2023-11-26 21:00:01,23,110,112,6,43
2023-11-26 21:30:01,23,114,114,6,47
2023-11-26 22:00:01,24,115,117,6,50
2023-11-26 22:30:01,26,118,118,6,52
2023-11-26 23:00:01,26,118,119,6,52
2023-11-26 23:30:01,26,118,121,6,53
2023-11-27 00:00:01,26,119,121,6,54
2023-11-27 00:30:01,26,120,121,6,54
2023-11-27 01:00:01,26,121,121,6,54
2023-11-27 01:30:01,27,121,123,6,54
2023-11-27 02:00:01,27,124,123,6,57
2023-11-27 02:30:01,28,126,124,6,57
2023-11-27 03:00:01,29,127,126,6,57
2023-11-27 03:30:01,29,128,126,6,57
2023-11-27 04:00:01,29,128,126,6,58
2023-11-27 04:30:01,29,129,126,6,58
2023-11-27 05:00:01,29,130,126,6,59
2023-11-27 05:30:01,29,130,126,6,59
2023-11-27 06:00:01,29,132,129,6,60
2023-11-27 06:30:01,30,132,130,6,61
2023-11-27 07:00:01,30,133,131,6,62
2023-11-27 07:30:01,30,133,131,6,63
2023-11-27 08:00:01,30,133,133,6,63
2023-11-27 08:30:01,30,133,133,6,64
2023-11-27 09:00:01,30,134,133,7,64
2023-11-27 09:30:01,30,135,134,7,64
2023-11-27 10:00:01,30,136,136,7,64
2023-11-27 10:30:01,30,136,136,8,65
2023-11-27 11:00:01,30,136,137,8,65
2023-11-27 11:30:01,30,136,138,8,65
2023-11-27 12:00:01,30,137,138,8,65
2023-11-27 12:30:01,31,137,138,8,66
2023-11-27 13:00:01,31,138,138,8,66
2023-11-27 13:30:01,31,139,138,8,66
2023-11-27 14:00:01,31,139,138,8,66
2023-11-27 14:30:01,31,140,138,8,66
2023-11-27 15:00:01,31,140,138,8,66
2023-11-27 15:30:01,31,140,138,8,66
2023-11-27 16:00:01,31,140,138,8,66
2023-11-27 16:30:01,31,142,140,8,66
2023-11-27 17:00:01,31,142,140,8,66
2023-11-27 17:30:01,31,142,140,8,66
2023-11-27 18:00:01,31,144,140,8,66
2023-11-27 18:30:02,32,144,140,8,66
2023-11-27 19:00:00,32,144,141,8,66
2023-11-27 19:30:00,32,145,141,8,67
2023-11-27 20:00:00,32,147,142,8,67
2023-11-27 20:30:00,32,148,143,8,67
2023-11-27 21:00:00,32,150,144,8,68
2023-11-27 21:30:00,32,153,144,8,69
2023-11-27 22:00:00,32,153,145,8,70
2023-11-27 22:30:00,32,154,145,8,70
2023-11-27 23:00:00,32,155,145,9,70
2023-11-27 23:30:00,32,156,145,9,71
2023-11-28 00:00:00,32,156,145,9,72
2023-11-28 00:30:00,32,157,145,9,72
2023-11-28 01:00:00,32,157,146,9,73
2023-11-28 01:30:00,32,158,147,9,73
2023-11-28 02:00:00,32,159,147,9,73
2023-11-28 02:30:00,32,159,148,9,73
2023-11-28 03:00:00,32,159,148,9,73
2023-11-28 03:30:00,32,159,148,9,73
2023-11-28 04:00:00,32,160,148,9,73
2023-11-28 04:30:00,32,160,148,9,73
2023-11-28 05:00:00,32,161,149,9,73
2023-11-28 05:30:00,32,161,150,9,73
2023-11-28 06:00:00,32,161,150,9,73
2023-11-28 06:30:00,32,161,150,9,74
2023-11-28 07:00:01,32,162,151,9,74
