,msg,I Feel You Linger in the Air,Only Friends,Laws of Attraction,Moonlight Chicken,My School President,date
0,OK,38,20,19,69,19,2023-11-24 15:04:59
1,OK,39,20,19,72,19,2023-11-24 15:09:59
2,OK,39,21,19,74,19,2023-11-24 15:15:00
3,OK,42,22,19,76,20,2023-11-24 15:19:59
4,OK,42,23,20,77,21,2023-11-24 15:24:59
5,OK,42,23,20,78,21,2023-11-24 15:30:00
6,OK,44,23,20,79,21,2023-11-24 15:34:59
7,OK,44,24,20,79,22,2023-11-24 15:39:59
8,OK,47,24,20,80,22,2023-11-24 15:44:59
9,OK,47,24,20,81,23,2023-11-24 15:50:00
10,OK,47,24,20,82,24,2023-11-24 15:55:00
11,OK,48,24,20,83,26,2023-11-24 16:00:00
12,OK,49,24,20,84,26,2023-11-24 16:05:00
13,OK,49,27,21,89,26,2023-11-24 16:10:00
14,OK,51,28,21,91,26,2023-11-24 16:15:00
15,OK,51,29,21,92,26,2023-11-24 16:20:00
16,OK,51,29,21,94,26,2023-11-24 16:25:00
17,OK,51,29,21,95,26,2023-11-24 16:30:00
18,OK,51,30,21,95,27,2023-11-24 16:35:00
19,OK,52,31,21,95,27,2023-11-24 16:40:00
20,OK,52,31,21,95,27,2023-11-24 16:45:00
21,OK,53,31,21,95,27,2023-11-24 16:50:00
22,OK,54,31,21,95,28,2023-11-24 16:55:00
23,OK,54,31,21,95,29,2023-11-24 17:00:00
24,OK,54,32,21,96,29,2023-11-24 17:05:00
25,OK,54,33,21,97,29,2023-11-24 17:10:00
26,OK,54,33,21,98,29,2023-11-24 17:15:00
27,OK,54,33,21,100,29,2023-11-24 17:20:00
28,OK,54,33,21,101,29,2023-11-24 17:25:00
29,OK,54,33,22,102,29,2023-11-24 17:30:00
30,OK,54,33,22,103,29,2023-11-24 17:35:00
31,OK,54,33,22,106,29,2023-11-24 17:40:00
32,OK,54,33,23,106,29,2023-11-24 17:45:00
33,OK,54,33,23,107,29,2023-11-24 17:50:01
34,OK,54,34,23,108,29,2023-11-24 17:55:00
35,OK,54,34,23,109,30,2023-11-24 18:00:00
36,OK,55,35,23,109,30,2023-11-24 18:05:00
37,OK,55,36,23,109,31,2023-11-24 18:10:00
38,OK,56,36,23,110,31,2023-11-24 18:15:00
39,OK,57,36,23,111,31,2023-11-24 18:20:00
40,OK,58,36,23,113,31,2023-11-24 18:29:59
41,OK,58,38,23,114,31,2023-11-24 18:34:59
42,OK,59,38,23,114,31,2023-11-24 18:39:59
43,OK,59,38,23,115,33,2023-11-24 18:44:59
44,OK,59,39,23,115,33,2023-11-24 18:49:59
45,OK,59,39,23,116,35,2023-11-24 18:54:59
46,OK,59,39,23,118,35,2023-11-24 18:59:59
47,OK,59,39,23,119,35,2023-11-24 19:04:59
48,OK,59,39,23,119,35,2023-11-24 19:09:59
49,OK,59,40,23,120,35,2023-11-24 19:14:59
50,OK,59,41,24,122,35,2023-11-24 19:19:59
51,OK,60,41,24,122,36,2023-11-24 19:24:59
